GeneID	GSM1942104	GSM1942105	GSM1942106	GSM1942107	GSM1942108	GSM1942109
100287102	4	7	3	2	3	2
653635	108	165	83	71	56	55
102466751	10	24	8	1	0	2
107985730	0	0	0	0	0	0
100302278	0	0	0	0	0	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	18	28	14	19	23	16
729737	34	47	37	23	28	25
102725121	3	7	2	2	3	1
102723897	165	259	107	84	78	79
102465909	4	10	7	1	1	2
107985721	1	0	0	1	0	1
112268260	25	38	24	14	16	15
729759	0	0	0	1	0	0
100132287	16	29	17	13	12	16
105378947	0	7	1	1	2	2
101928626	0	0	0	0	0	0
113219467	542	802	508	388	274	258
81399	2	2	2	1	1	1
100133331	18	40	28	12	15	19
107984841	3	8	9	4	6	4
107984847	3	12	9	5	7	6
107984849	1	2	1	1	1	1
100288069	25	31	20	9	21	23
105378580	29	22	24	21	19	20
400728	3	9	5	7	2	6
79854	11	21	9	4	2	4
643837	96	150	60	117	75	75
107984850	0	0	0	0	0	0
284593	1	2	1	1	0	1
284600	10	15	5	7	9	14
100130417	12	25	11	20	31	25
107985728	52	68	34	38	47	46
148398	120	208	109	120	207	216
26155	697	1013	462	702	1178	1132
339451	166	252	121	41	35	46
84069	28	47	27	15	29	34
84808	9	8	8	3	5	5
57801	108	157	78	150	111	128
9636	299	433	174	223	493	509
375790	1615	2703	1281	1299	1933	1835
100288175	22	38	20	13	10	10
112267874	81	114	52	61	55	48
105378948	69	101	47	31	31	25
401934	340	556	235	255	225	257
54991	109	214	80	91	97	98
254099	1	0	0	0	0	0
406984	0	5	1	0	1	0
406983	4	8	4	1	0	1
554210	2	10	0	6	1	1
100506376	0	1	2	2	4	2
254173	2	5	5	6	4	4
8784	16	30	12	15	22	32
7293	1	4	2	2	0	1
51150	1280	1925	860	908	1025	956
126792	252	466	224	295	257	245
388581	14	8	8	4	1	1
118424	435	657	286	357	433	395
101928895	8	14	5	1	0	0
6339	13	21	12	10	6	8
116983	314	575	271	185	235	219
102465434	1	1	0	0	0	0
109623456	3	6	1	1	2	1
126789	163	272	124	185	231	186
54973	352	586	257	325	399	352
102465435	1	4	4	1	2	1
80772	253	360	139	209	188	173
83756	77	122	48	20	12	10
1855	511	880	377	470	397	389
102466740	2	2	1	2	0	0
54587	7	10	11	8	20	16
54998	610	989	396	620	786	726
81669	2796	4536	2042	785	622	575
148413	176	257	112	184	192	192
55052	460	651	276	367	488	468
107984868	3	4	2	4	12	3
441869	0	0	0	0	3	1
105378585	0	2	1	0	0	3
643965	0	0	0	0	0	0
102724312	0	2	3	1	1	3
107985729	3	5	4	2	0	4
64856	206	359	147	228	218	177
219293	13	19	8	14	17	16
83858	265	410	198	145	220	172
55210	187	320	123	275	326	305
339453	3	4	3	0	1	0
29101	556	1000	391	606	769	693
643988	94	164	79	201	233	248
105378586	1	7	2	8	10	7
142678	349	591	289	195	183	186
8510	16	28	14	12	12	8
984	339	584	276	297	322	346
728661	705	1099	528	900	840	828
8511	1	3	2	2	1	0
728642	395	666	269	236	247	242
9906	450	754	350	537	603	493
112268218	40	77	23	47	42	40
65220	601	1077	467	789	719	602
2782	1653	2560	1117	2849	2952	2801
105378949	1	3	3	3	1	2
163688	7	9	3	2	2	5
339456	16	18	12	19	15	16
85452	2	7	6	1	2	1
107984872	0	0	0	0	0	0
105378589	0	0	0	0	0	0
2563	6	14	5	14	14	20
105378590	0	0	0	0	0	0
105378591	0	3	0	1	3	0
5590	310	467	210	339	341	329
100506504	10	12	8	3	2	6
199990	108	161	78	130	127	112
112268219	44	92	44	61	41	42
105378593	1	0	0	0	0	1
6497	187	285	136	279	464	409
79906	57	93	40	47	54	61
100129534	5	5	3	6	12	5
11079	792	1337	553	888	899	836
5192	190	280	124	260	244	220
9651	29	58	17	14	21	27
55229	212	380	153	137	184	148
388585	0	0	0	0	0	0
115110	1	3	2	1	0	1
8764	0	1	0	0	0	1
100996583	4	3	3	0	7	2
127281	106	166	95	140	154	144
